internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22690032,Hydropsalis torquata,Hydropsalis brasiliana,Hydropsalis brasiliana,,Stotz et al. (1996),,
22690032,Hydropsalis torquata,Hydropsalis brasiliana,Hydropsalis brasiliana,,"Sibley and Monroe (1990, 1993)",,
22690046,Macropsalis forcipata,Macropsalis creagra,Macropsalis creagra,,"Sibley and Monroe (1990, 1993)",,
22690046,Macropsalis forcipata,Macropsalis creagra,Macropsalis creagra,,Collar and Andrew (1988),,
22690046,Macropsalis forcipata,Macropsalis creagra,Macropsalis creagra,,Collar et al. (1994),,
22690046,Macropsalis forcipata,Macropsalis creagra,Macropsalis creagra,,BirdLife International (2004),,
22690046,Macropsalis forcipata,Macropsalis creagra,Macropsalis creagra,,Stotz et al. (1996),,
22690241,Patagioenas squamosa,Columba squamosa,Columba squamosa,,Stotz et al. (1996),,
22690241,Patagioenas squamosa,Columba squamosa,Columba squamosa,,BirdLife International (2004),,
22690241,Patagioenas squamosa,Columba squamosa,Columba squamosa,,"Sibley and Monroe (1990, 1993)",,
22690247,Patagioenas corensis,Columba corensis,Columba corensis,,Stotz et al. (1996),,
22690247,Patagioenas corensis,Columba corensis,Columba corensis,,"Sibley and Monroe (1990, 1993)",,
22690247,Patagioenas corensis,Columba corensis,Columba corensis,,BirdLife International (2004),,
22690253,Patagioenas picazuro,Columba picazuro,Columba picazuro,,"Sibley and Monroe (1990, 1993)",,
22690253,Patagioenas picazuro,Columba picazuro,Columba picazuro,,BirdLife International (2004),,
22690253,Patagioenas picazuro,Columba picazuro,Columba picazuro,,Stotz et al. (1996),,
22690273,Patagioenas araucana,Columba araucana,Columba araucana,,Stotz et al. (1996),,
22690273,Patagioenas araucana,Columba araucana,Columba araucana,,"Sibley and Monroe (1990, 1993)",,
22690273,Patagioenas araucana,Columba araucana,Columba araucana,,Collar and Andrew (1988),,
22690273,Patagioenas araucana,Columba araucana,Columba araucana,,BirdLife International (2004),,
22690273,Patagioenas araucana,Columba araucana,Columba araucana,,Collar et al. (1994),,
22690364,Nesoenas picturatus,"Columba picturata picturata Sibley and Monroe (1990, 1993)",Columba picturata,picturata,"Sibley and Monroe (1990, 1993)",,
22690364,Nesoenas picturatus,Streptopelia picturata,Streptopelia picturata,,BirdLife International (2004),,
22690364,Nesoenas picturatus,Streptopelia picturata,Streptopelia picturata,,Dowsett and Forbes-Watson (1993),,
22690384,Aplopelia larvata,"Columba larvata larvata Sibley and Monroe (1990, 1993)",Columba larvata,larvata,"Sibley and Monroe (1990, 1993)",,
22690589,Reinwardtoena reinwardti,Reinwardtoena reinwardtsi [orth. error],Reinwardtoena,reinwardtsi,[orth. error],,
22690589,Reinwardtoena reinwardti,"Reinwardtoena reinwardtii (Temminck, 1824) [orth. error]",Reinwardtoena,reinwardtii,"(Temminck, 1824) [orth. error]",,
22690589,Reinwardtoena reinwardti,"Columba reinwardtsi Temminck, 1824 [orth. error]",Columba,reinwardtsi,"Temminck, 1824 [orth. error]",,
22690676,Ocyphaps lophotes,"Geophaps lophotes lophotes Sibley and Monroe (1990, 1993)",Geophaps lophotes,lophotes,"Sibley and Monroe (1990, 1993)",,
22690727,Leucosarcia melanoleuca,Leucosarcia picata picata Christidis and Boles (2008),Leucosarcia picata,picata,Christidis and Boles (2008),,
22690762,Columbina inca,Scardafella inca inca Stotz et al. (1996),Scardafella inca,inca,Stotz et al. (1996),,
22690942,Zentrygon goldmani,"Geotrygon goldmani Nelson, 1912",Geotrygon,goldmani,"Nelson, 1912",,
22690950,Zentrygon frenata,"Geotrygon frenata (Tschudi, 1843)",Geotrygon,frenata,"(Tschudi, 1843)",,
22690991,Gallicolumba crinigera,"Gallicolumba criniger ssp. criniger (Pucheran, 1853) — BirdLife International (2000)",Gallicolumba,criniger,,subspecies,"(Pucheran, 1853) — BirdLife International (2000)"
22690991,Gallicolumba crinigera,"Gallicolumba criniger ssp. criniger (Pucheran, 1853) — Sibley and Monroe (1990, 1993)",Gallicolumba,criniger,,subspecies,"(Pucheran, 1853) — Sibley and Monroe (1990, 1993)"
22690991,Gallicolumba crinigera,"Gallicolumba criniger ssp. criniger (Pucheran, 1853) — Collar <i>et al<i/>. (1994)",Gallicolumba,criniger,,subspecies,"(Pucheran, 1853) — Collar <i>et al<i/>. (1994)"
22691019,Alopecoenas jobiensis,"Gallicolumba jobiensis (Meyer, 1875)",Gallicolumba,jobiensis,"(Meyer, 1875)",,
22691037,Alopecoenas xanthonurus,"Gallicolumba xanthonura (Temminck, 1823)",Gallicolumba,xanthonura,"(Temminck, 1823)",,
22691042,Alopecoenas stairi,"Gallicolumba stairi (Gray, 1856)",Gallicolumba,stairi,"(Gray, 1856)",,
22691052,Alopecoenas ferrugineus,"Gallicolumba ferruginea (Forster, 1844)",Gallicolumba,ferruginea,"(Forster, 1844)",,
22691056,Alopecoenas salamonis,"Gallicolumba salamonis (Ramsay, 1882)",Gallicolumba,salamonis,"(Ramsay, 1882)",,
22691142,Treron bicinctus,Treron bicincta,Treron bicincta,,"Sibley and Monroe (1990, 1993)",,
22691142,Treron bicinctus,Treron bicincta,Treron bicincta,,BirdLife International (2004),,
22691203,Treron phoenicopterus,Treron phoenicoptera,Treron phoenicoptera,,"Sibley and Monroe (1990, 1993)",,
22691203,Treron phoenicopterus,Treron phoenicoptera,Treron phoenicoptera,,BirdLife International (2004),,
22691274,Treron sphenurus,Treron sphenura,Treron sphenura,,"Sibley and Monroe (1990, 1993)",,
22691274,Treron sphenurus,Treron sphenura,Treron sphenura,,BirdLife International (2004),,
22691317,Ramphiculus marchei,"Ptilinopus marchei (Oustalet, 1880)",Ptilinopus,marchei,"(Oustalet, 1880)",,
22691322,Ramphiculus merrilli,"Ptilinopus merrilli (McGregor, 1916)",Ptilinopus,merrilli,"(McGregor, 1916)",,
22691367,Megaloprepia magnifica,"Ptilinopus magnificus (Temminck, 1821)",Ptilinopus,magnificus,"(Temminck, 1821)",,
22691440,Ptilinopus greyi,Ptilinopus greyii,Ptilinopus,greyii,,,
