"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"17683",17683,"66",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17684",17684,"67",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17685",17685,"68",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17796",17796,"69",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17797",17797,"70",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17798",17798,"71",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17799",17799,"72",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17802",17802,"73",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17803",17803,"74",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17804",17804,"75",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17805",17805,"76",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17806",17806,"77",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"17807",17807,"78",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18042",18042,"79",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18043",18043,"80",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18044",18044,"81",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18045",18045,"82",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18046",18046,"83",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18157",18157,"84",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18158",18158,"85",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18159",18159,"86",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18160",18160,"87",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18162",18162,"88",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18163",18163,"89",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18164",18164,"90",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18165",18165,"91",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18166",18166,"92",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18167",18167,"93",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18168",18168,"94",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18169",18169,"95",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18377",18377,"96",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"18404",18404,"97",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18405",18405,"98",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18406",18406,"99",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
